K,seg_group,n_segments,mean_meth,sd_meth,mean_genes,sd_genes,mean_gene_bp,sd_gene_bp,mean_gene_density,sd_gene_density,mean_promoters,sd_promoters,mean_promoter_bp,sd_promoter_bp
4,4,7,0.937672714727106,0.00416057381910807,238.285714285714,251.71393438168,8494158.14285714,8885275.23579226,15.5919225306459,3.51736646412022,943.428571428571,981.363313141954,1131658.42857143,1178009.97766457
4,2,5,0.519549530357351,0.107081431940369,1.6,1.67332005306815,20635,31271.9912381671,197.826815266336,381.121079986331,4.4,6.38748776906853,5280,7664.98532288223
4,1,6,0.274508444999133,0.0599606218814526,2.16666666666667,3.92003401345788,83356.8333333333,169183.807054241,150.430697220986,349.863216250943,8.5,19.3881407050805,10200,23265.7688460966
4,3,6,0.866485630365852,0.0319279892150507,1,1.54919333848297,45440.6666666667,99226.7101594458,7.48757069257495,13.7523546071496,3.83333333333333,7.22264956000682,4600,8667.17947200818
