K,seg_group,n_segments,mean_meth,sd_meth,mean_genes,sd_genes,mean_gene_bp,sd_gene_bp,mean_gene_density,sd_gene_density,mean_promoters,sd_promoters,mean_promoter_bp,sd_promoter_bp
2,2,290,0.918269486422864,0.0297771171540026,78.8655172413793,110.38162419114,2979915.10689655,4173068.25343345,41.4145235871149,143.469153125542,308.341379310345,426.933522387132,369881.34137931,512305.138836388
2,1,374,0.414606111892958,0.233992698659177,1.48128342245989,2.21460481527088,28594.0748663102,66857.0006816779,723.834537180352,1934.57578107927,3.11497326203209,7.91002624184877,3571.94919786096,9406.81655559143
